,latlon,source
"DUPONT WILKES B, PA","41.3240085,-75.7441253",mgdc
"DURAZNO, NL",",",
"Eagle Grove, IA","42.664138,-93.9043905",ap
"EAGLE LAKE, TX","29.5895382,-96.331239",ap
"EAGLE PASS, TX","28.7091433,-100.4995214",ap
"East Baton Rouge,  LA","30.5254797,-91.0899217",ap
"EAST BAYTOWN, TX","29.7355047,-94.9774274",ap
"East Baytown, TX","29.7355047,-94.9774274",ap
"EAST BINGHAMTON, NY","42.096968,-75.914341",ap
"EAST BIRMINGHAM, AL","33.5206824,-86.8024326",ap
"EAST CHICAGO, IN","41.6397857,-87.4548466",ap
"EAST DUBLIN, GA","32.5482221,-82.8718084",ap
"EAST EDMONTON , AB","53.535411,-113.507996",ap
"EAST EDMONTON, AB","53.535411,-113.507996",ap
"East Edmonton, AB","53.535411,-113.507996",ap
"East Grand Forks, MN","47.9317013,-97.0175792",ap
"EAST HARTFORD, CT","41.7623342,-72.62040921",ap
"EAST HELENA, MT","46.5892681,-111.9154392",ap
"EAST MINNEAPOLI, MN","44.9797616,-93.2662466",mgdc
"EAST MORRIS, IL","41.68843,-73.1801128",ap
"East Morris, IL","41.68843,-73.1801128",ap
"EAST POINT, GA","33.6795531,-84.4393724",ap
"EAST SAVANNAH, GA","32.1303438,-81.2032958",ap
"East Savannah, GA","32.1303438,-81.2032958",ap
"EAST ST LOUIS, IL","38.6244952,-90.1509429",ap
"East St. Louis, IL","38.6244952,-90.1509429",ap
"EASTERLY, TX","31.1054616,-96.3841328",ap
"EASTMAN, SC","34.154389,-79.69223",ap
"EATON, OH","39.7439398,-84.6364891",ap
"EATONTON, GA","33.3267997,-83.3884961",ap
"EAU CLAIRE, WI","44.811349,-91.4984941",ap
"EDDYVILLE, IA","41.1572482,-92.6343717",ap
"EDEN CENTER, NY","42.652282,-78.896979",ap
"Edgemoor, DE","39.7501139,-75.4996414",ap
"Edgemoor, TN","36.0148016,-84.1574175",ap
"EDGERTON, WI","42.8334738,-89.06949",ap
"EDISON, NJ","40.5382375,-74.39451735",ap
"EDMONTON , AB","53.535411,-113.507996",ap
"Edmonton Inter Term,AB","53.3054406,-113.5795749",mg
"EDMONTON, AB","53.535411,-113.507996",ap
"Edmonton, AB","53.535411,-113.507996",ap
"EDSON, AB","53.5858662,-116.4428477",ap
"Edson, AB","53.5858662,-116.4428477",ap
"EDSON, KS","39.3372235,-101.5404449",ap
"Edwardsport, IN","38.811991,-87.2522367",ap
"EFFINGHAM, IL","39.1201433,-88.54348",ap
"EIDENAU, PA","40.7917319,-80.0958935",ap
"EIGHTENST, KS",",",
"EL CASTILLO, JA","20.6829909,-88.5708378",mg
"EL DORADO, KS","37.81724,-96.8622524",ap
"EL PASO, TX","31.7600372,-106.487287",ap
"ELDON , TX","29.8152236,-94.9177032",ap
"Eldon Jct, TX","29.8152592,-94.9352559",mg
"ELDON JCT, TX",",",
"ELDON, TX","29.8152236,-94.9177032",ap
"Elk City, OK","35.4119944,-99.4042592",ap
"Elk Grove Village, IL","42.0041236,-87.9706457",ap
"ELK GROVE, CA","38.4087993,-121.3716178",ap
"ELKHORN, WI","42.6727927,-88.5445447",ap
"ELLIOTT, MS","33.6911447,-89.7572329",ap
"ELLWOOD C, PA","40.20561885,-74.93586314",ap
"ELMENDORF, TX","29.2560731,-98.3327903",ap
"Elmendorf, TX","29.2560731,-98.3327903",ap
"ELMWOOD PARK, NJ","40.9039878,-74.118476",ap
"Elnora, IN","38.8783801,-87.0858431",ap
"Elsmere Jct, DE","39.7408775,-75.5937549",mg
"ELSMERE JCT, DE",",",
"EMERSON, MB","49.0060537,-97.208882",ap
"EMILFORD, UT",",",
"EMPORIA, IN","40.0044879,-85.6338651",ap
"ENDERLIN, ND","46.623028,-97.601486",ap
"Enderlin, ND","46.623028,-97.601486",ap
"ENGEN, BC","54.016667,-124.283333",ap
"Engen, BC","54.016667,-124.283333",ap
"ENGLEHART, ON","47.821454,-79.874725",ap
"ENID, OK","36.3967623,-97.8791341",ap
"Enid, OK","36.3967623,-97.8791341",ap
"ENNIS, TX","32.3293111,-96.6252679",ap
"ENOREE, SC","34.6565154,-81.9650977",ap
"ENSLEY, AL","33.5095505,-86.8861029",ap
"EOLA, IL","41.7775292,-88.2428476",ap
"EPCO, ID",",",
"Erick, OK","35.2153299,-99.8664925",ap
"ERIE, PA","42.1294712,-80.0852695",ap
"ESCALON, CA","37.7974273,-120.9966033",ap
"ESCANABA, MI","45.7455707,-87.0647434",ap
"ESTEVAN, SK","49.1428076,-102.9910752",ap
"ETIWANDA, CA","34.1261209,-117.5236622",ap
"ETOWAH, TN","35.3236458,-84.5248279",ap
"ETTER, TX","36.0272534,-101.9994307",ap
"EUFAULA, AL","31.8912717,-85.1454876",ap
"EUGENE, OR","44.0505054,-123.0950506",ap
"Eugene, OR","44.0505054,-123.0950506",ap
"Eureka,  NV","39.9497613,-116.2884505",ap
"EUREKA, MT","48.8799647,-115.0535001",ap
"Eureka, MT","48.8799647,-115.0535001",ap
"EVANS CIT, PA","40.7675496,-80.0757536",mg
"EVANS CITY, PA","40.7692321,-80.062838",ap
"EXELAND, WI","45.6680167,-91.2440479",ap
"EXETER, BC","51.6527497,-121.3445557",mg
"FAIRBANKS, TX","29.8527259,-95.5243864",ap
"FAIRFAX, KS","37.67505065,-97.2873927",ap
"FAIRMONT, MN","43.6521775,-94.4610832",ap
"Fairmont, MN","43.6521775,-94.4610832",ap
"Fairmount, ND","46.054959,-96.602294",ap
"Fairview Cove Impex, NS","44.6629339,-63.632489",mgdc
"FAIRWATER, WI","43.7438722,-88.8670556",ap
"Falkville, AL","34.3673815,-86.88871132",ap
"FALLSCREE, PA","41.141458,-78.8222042",mg
"FAMOSO, CA","35.6056311,-119.2177557",mg
"Famoso, CA","43.6661878,-79.4068386",ap
"FARGO, ND","46.877229,-96.789821",ap
"Fargo, ND","46.877229,-96.789821",ap
"Faribault,  MN","44.2949637,-93.268827",ap
"FAYETTEVILLE, AR","36.0625843,-94.1574328",ap
"FEDERAL, IL",",",
"FENELTON, PA","40.8703418,-79.7261609",ap
"FERNANDINA BEACH, FL","30.6696818,-81.4625919",ap
"FERNDALE, WA","48.8466698,-122.5897235",ap
"FERNWOOD, MS","31.1854546,-90.4489861",ap
"FIDALGO , WA","47.5504637,-122.3309006",ap
"FILER, ID","42.570186,-114.6078214",ap
"FINDERNE, NJ","40.5631587,-74.5776568",ap
"FLAGLER, CO","39.2930463,-103.0671582",ap
"FLAGSTAFF, AZ","35.199458,-111.6514259",ap
"FLINT, MI","43.0171773,-83.7236024",ap
"FLORIEN, LA","31.4441975,-93.5308039",mg
"FOMBELL, PA","40.8095093,-80.2017277",ap
"FOND DU LAC, WI","43.7748763,-88.4458033",ap
"Fond Du Lac, WI","43.7748763,-88.4458033",ap
"Ford,  KS","37.7072469,-99.8943146",ap
"FOREST PARK, GA","33.6220542,-84.3690918",ap
"FORMOSA, TX","28.6816139,-96.5668611",mg
"Formosa, TX","28.6816139,-96.5668611",mg
"FORSTER, SC",",",
"Fort Frances, ON","48.6114425,-93.3967615",ap
"FORT ROUGE, MB","49.88784425,-97.13523292",ap
"FORT ST JAMES, BC","54.4446952,-124.2596983",ap
"Fort St James, BC","54.4446952,-124.2596983",ap
"FORT ST JOHN, BC","56.2524039,-120.846943",ap
"Fort St John, BC","56.2524039,-120.846943",ap
"FORT WORTH SO, TX","32.753177,-97.3327459",ap
"FORT WORTH, TX","32.753177,-97.3327459",ap
"FORTSON, GA","33.3778914,-84.2888119",ap
"FOSTORIA, OH","41.156998,-83.4168702",ap
"FOUNTAIN, AL","31.5946038,-87.4088776",ap
"FRANKFORD, DE","38.518038,-75.233764",ap
"FRANKFORT, IN","40.2797657,-86.5108244",ap
"Franklin, IA","42.7285907,-93.2513168",ap
"Fraser Surrey Impex, BC","49.1067355,-122.7881884",mgdc
"FREDERICK, MD","39.4142186,-77.4109269",ap
"FREDERICKSBURG, VA","38.3031837,-77.4605399",ap
"FREELAND, MI","43.5250265,-84.1227598",ap
"FREEPORT, PA","40.6739543,-79.6847703",ap
"FREEPORT, TX","28.9541368,-95.3596617",ap
"Freeport, TX","28.9541368,-95.3596617",ap
"FRESNO, CA","36.7295295,-119.7088613",ap
"Fresno, CA","36.7295295,-119.7088613",ap
"FRIDLEY, MN","45.0838291,-93.2590388",ap
"FRISCO CITY, AL","31.4334985,-87.401375",ap
"FROSTPROOF, FL","27.7458626,-81.5306313",ap
"FRUITVALE, CA","49.116667,-117.55",ap
"FT LAUDERDALE, FL","26.1223084,-80.1433786",ap
"FT MORGAN, CO","40.2502582,-103.799951",ap
"FT PIERCE, FL","27.4467056,-80.3256056",ap
"FT SASKATCHEWAN, AB","53.712965,-113.214111",ap
"FT SMITH, AR","35.3872218,-94.4248983",ap
"FT WAYNE, IN","41.0799898,-85.1386015",ap
"FT WORTH , TX","32.753177,-97.3327459",ap
"FT WORTH, TX","32.753177,-97.3327459",ap
"Ft. Saskatchewan, AB","53.712965,-113.214111",ap
"FULCO, GA",",",
"FULTON, AL","31.7884881,-87.7272221",ap
"FULTON, MS","34.2739933,-88.4092133",ap
"FULTON, NY","43.1061507,-74.4461771",ap
"Gage,  NE","40.2469449,-96.7021336",ap
"GALENA PARK, TX","29.7335616,-95.2302123",ap
"GALESBURG, IL","40.9479779,-90.3705842",ap
"Gallatin,  MT","45.4868491,-111.1967693",ap
"GALPARK, TX",",",
"Galveston,  TX","29.299328,-94.7945882",ap
"GALVESTON, TX","29.299328,-94.7945882",ap
"Galveston, TX","29.299328,-94.7945882",ap
"GARDEN CITY, GA","32.1143715,-81.1540013",ap
"GARDEN CITY, KS","37.9716898,-100.8726618",ap
"Garfield, OK","36.3735486,-97.7845975",ap
"GARLAND, UT","41.7410387,-112.1616194",ap
"GARRETT, IN","41.3494927,-85.1355271",ap
"GARY, IN","41.6021292,-87.3371372",ap
"Gary, IN","41.6021292,-87.3371372",ap
"GARYVILLE, LA","30.056035,-90.6192554",ap
"GASTON, SC","33.8170974,-81.1009286",ap
"GASTONIA, NC","35.262082,-81.1873005",ap
"GATEWAY YARD, IL","38.5880306,-90.1387881",ap
"GATYARD, IL","38.5883039,-90.1465627",mgdc
"GEISMAR, LA","30.2300936,-91.07613",mg
"Geismar, LA","30.2300936,-91.07613",mg
"GENEVA (FGLK), NY","42.8786121,-76.9614506",mg
"GENEVA, NY","42.8690271,-76.9786122",ap
"GENOA , NE","41.4479475,-97.7332554",ap
"GENOA, CO","39.2783208,-103.5002239",ap
"GEORGE WEST, TX","28.3318242,-98.1171612",ap
"GEORGETOWN, SC","33.376834,-79.2944965",ap
"GERLACH, OK","36.4358705,-99.4526103",ap
"GERMANTOWN, WI","43.2286174,-88.1103691",ap
"GHENT, KY","38.7375625,-85.0582835",ap
"GIBBSTOWN, NJ","39.824634,-75.2776699",ap
"Giddings, TX","30.1830498,-96.9366112",ap
"GILL, CO","40.4541475,-104.5421798",ap
"GILMAN, IL","40.7667015,-87.992262",ap
"GIRVAN, CA","40.5126513,-122.3800076",ap
"Giscome, BC","54.0707752,-122.3682348",ap
"GLEN ELDER, KS","39.4985041,-98.3086214",ap
"GLENDALE, AZ","33.5386858,-112.1859941",ap
"Glendale, WV","39.2850771,-81.1553901",ap
"GLIDDEN, IA","42.0569297,-94.72887",ap
"GOLDEN, BC","51.2975903,-116.9646541",ap
"GOMEZ PALACIO, DG","25.5852171,-103.5622673",mg
"GONZALEZ, FL","30.5815828,-87.2913629",ap
"Gooding, ID","43.0031041,-114.8286924",ap
"GOODLAND, KS","39.350833,-101.7101722",ap
"Goodland, KS","39.350833,-101.7101722",ap
"GOSHEN JCT, CA","36.3466619,-119.4204921",mgdc
"GOUVERNEUR, NY","44.336864,-75.463028",ap
"GRAFTON, OH","41.2725522,-82.0545892",ap
"Gramercy, LA","30.0474239,-90.6898128",ap
"GRAND FORKS, BC","49.0271754,-118.4568507",ap
"Grand Forks, ND","47.9078244,-97.0592028",ap
"GRAND ISLAND, NE","40.924271,-98.338685",ap
"GRAND LEDGE, MI","42.7533685,-84.7463757",ap
"GRAND PRAIRIE, TX","32.657368,-97.02846624",ap
"GRAND RAPIDS, MN","47.237166,-93.530214",ap
"GRANDE PRAIRIE, AB","55.1709919,-118.7948882",ap
"Grande Prairie, AB","55.1709919,-118.7948882",ap
"GRANGER, WA","41.7610984,-93.8243925",ap
"Granger, WA","41.7610984,-93.8243925",ap
"GRANITE CITY, IL","38.7014389,-90.1487199",ap
"GRANITE, WY","41.0999831,-105.1583108",ap
"GRANVILLE, WI","43.1694257,-88.0146888",ap
"Grays Harbor,  WA","47.1744169,-123.8658829",ap
"GREAT BEND, KS","38.3625063,-98.7804087",ap
"GREAT FALLS, MT","47.5048851,-111.2918908",ap
"GREEN BAY, WI","44.5126379,-88.0125794",ap
"Green Bay, WI","44.5126379,-88.0125794",ap
"GREEN TREE, AL","40.4162501,-80.0541911",ap
"GREENSBORO, NC","36.0726355,-79.7919754",ap
"Greenwood, MS","33.5162315,-90.1795281",ap
"GREGORY , TX","27.9222444,-97.2899915",ap
"GRENADA, MS","33.7690049,-89.8084192",ap
"GRETNA, KS","39.7652881,-99.2128695",ap
"GRIFFIN, GA","33.2467807,-84.2640904",ap
"Griffith, IN","41.534507,-87.4255305",ap
"GROOS, MI","45.811633,-87.1031923",ap
"Groos, MI","45.811633,-87.1031923",ap
"Grundy,  MO","40.1075648,-93.5737817",ap
"GUADALAJARA, JA","20.6740565,-103.4755137",mg
"GUERNSEY, CA","51.8714796,-105.1886418",ap
"Guernsey, CA","51.8714796,-105.1886418",ap
"GUILDERLAND CTR SNY, NY","42.6957887,-74.00244",mg
"Guion, AR","35.9253507,-91.9407041",ap
"GULFPORT, MS","30.3674198,-89.0928155",ap
"GURDON, AR","33.9209365,-93.1540591",ap
"GUTHRIE, KY","36.6485623,-87.1661261",ap
"GUTHRIE, OK","35.8789231,-97.4252772",ap
"H C VENEER, LA","46.41281505,-66.93169826",ap
"HAGER , WI","44.6016343,-92.5382464",ap
"Hager, WI","44.6016343,-92.5382464",ap
"HAGERSTOWN, MD","39.6419219,-77.7202641",ap
"Halifax Halterm Ter, NS","44.6484629,-63.630982",mgdc
"Halifax Inter Term, NS","44.6484629,-63.630982",mgdc
"HALLOCK, MN","48.7744263,-96.946447",ap
"HAMILTON, MS","34.9167586,-89.0539534",ap
"HAMLER, OH","41.2292165,-84.0341106",ap
"HAMLET, IN","41.3800553,-86.5998197",mg
"HAMMOND, IN","41.5833658,-87.500043",ap
"HANAHAN, SC","32.9138914,-80.0088359",ap
"HANKINSON, ND","46.069681,-96.901748",ap
"HANNA, OH","39.2597876,-84.25928627",ap
"Hanna, OH","39.2597876,-84.25928627",ap
"HARPSTER, OH","40.7392237,-83.2538072",ap
"Harriman, TN","35.9339639,-84.5524359",ap
"Harris,  TX","29.8119769,-95.3741247",ap
"HARRISBURG, NC","35.3262523,-80.6446563",ap
"HARRISBURG, OR","44.2740124,-123.170648",ap
"HARRISBURG, PA","40.2663107,-76.8861122",ap
"HARRISON, IN","38.1816187,-86.1066917",ap
"Harrodsburg, KY","37.762298,-84.8432852",ap
"HARTFORD, IL","41.764582,-72.6908547",ap
"HARTFORD, WI","43.3177776,-88.378857",ap
"HARVEY, IL","38.0352315,-97.4486267",ap
"HASTINGS, MN","44.7426933,-92.8518697",ap
"HASTINGS, NE","40.5861322,-98.3898883",ap
"HATCH, CA","50.6519838,-120.4076511",ap
"HATFIELD, AR","34.485662,-94.378547",ap
"HATTIESBURG, MS","31.3271189,-89.2903392",ap
"HAVELOCK, NE","40.8568677,-96.6360601",ap
"HAZLETON, PA","40.9646867,-75.9852789",ap
"Headrick, OK","34.6275714,-99.1381366",ap
"HEARST, ON","49.690732,-83.666382",ap
"Hearst, ON","49.690732,-83.666382",ap
"Hebertville, PQ","48.4427734,-71.6632771",mgdc
"HEBERTVILLE, PQ","48.4427734,-71.6632771",mgdc
"HELENA, MT","46.592712,-112.036109",ap
"HELVETIA, LA","30.0784922,-90.8858627",mgdc
"HEMLOCK, MI","43.4147379,-84.229942",ap
"HENDERSON, KY","37.8367513,-87.5907631",ap
"HEREFORD, TX","34.8245521,-102.398778",ap
"HERLONG, CA","40.1435142,-120.1346519",ap
"Herlvetia, LA",",",
"HIGH LEVEL, AB","58.516667,-117.133333",ap
"High Level, AB","58.516667,-117.133333",ap
"HILL, AL","33.2588817,-86.8295337",ap
"HILLSDALE, IL","41.6136437,-90.1728998",ap
"HINTON, AB","53.4046768,-117.570219",ap
"HIXTON , WI","44.3857944,-91.0143157",ap
"Hixton, WI","44.3857944,-91.0143157",ap
"HOLCOMB, KS","37.9861353,-100.9893331",ap
"HOLDEN, LA","30.5067571,-90.7103144",mg
"Holland, MI","42.7876022,-86.1090828",ap
"HOLLYWOOD, FL","26.0112014,-80.1494901",ap
"HOLT, AL","33.22593745,-87.48083933",ap
"HOMEGLEN, AB","52.7998699,-114.0741251",ap
"Homeglen, AB","52.7998699,-114.0741251",ap
"HOMER CTY, PA","40.5434007,-79.1622566",ap
"Homewood, IL","44.65592325,-75.58816678",ap
"Hope, AR","33.662329,-93.6594913",mg
"HOPEWELL, VA","36.7468036,-79.4639158",ap
"HOPKINSVILLE, KY","36.8657651,-87.4889532",ap
"HORICON, WI","43.4513836,-88.6312139",ap
"HOTCHKISS, AB","50.9142906,-113.8926105",ap
"Hotchkiss, AB","50.9142906,-113.8926105",ap
"HOUSTON , TX","29.7589382,-95.3676974",ap
"HOUSTON, BC","54.398248,-126.6480725",ap
"HOUSTON, TX","29.7589382,-95.3676974",ap
"Houston, TX","29.7589382,-95.3676974",ap
"Hudson Bay, SK","52.8565978,-102.3968073",ap
"HUDSON UPPER, NY","41.1383435,-73.8900013",ap
"Hull, TX","30.1463235,-94.6424197",ap
"HUMBIRD , WI","44.5291286,-90.8893143",ap
"Humbird, WI","44.5291286,-90.8893143",ap
"HUNT, LA","33.1161567,-96.0808922",ap
"HUNTSVILLE, AL","34.6686435,-86.44181971",ap
"HURON, CA","36.2055669,-120.1253516",mg
"HUTCHINSON, KS","38.0608444,-97.9297743",ap
"HUXFORD, AL","31.2201734,-87.4619291",ap
"HYDROCARBON, KY","37.527434,-82.800169",ap
"Hydrocarbon, KY","37.527434,-82.800169",ap
"IDAHO FALLS, ID","43.4935245,-112.0400919",ap
"Independence, WI","44.3569071,-91.4204347",ap
"INDIAN ORCHARD, MA","42.1584269,-72.4995308",ap
"INDIANA HARBOR, IN","41.6432036,-87.4477073",ap
"INDIANAPOLIS, IN","39.7683331,-86.1583502",ap
"Indianapolis, IN","39.7683331,-86.1583502",ap
"INDIANTOWN, FL","27.0273407,-80.4820908",ap
"INDIO, CA","33.7192808,-116.2188054",ap
"Ingersoll, ON","43.037725,-80.88211",ap
"International Falls, MN","48.601049,-93.410982",ap
"IOWA CITY, IA","41.6612561,-91.5299106",ap
"IRAPUATO, GJ",",",
"IRON RIDGE, WI","43.3997196,-88.5326008",ap
"IRVINE, PA","41.8392258,-79.2683812",ap
"IVANHOE, IN","41.5962839,-87.4137015",ap
"Jackonville, FL","30.3449741,-82.2451253",mg
"Jackson,  MN","43.670011,-95.1500626",ap
"JACKSON, AL","34.7692447,-85.9867941",ap
"Jackson, KS","39.4030917,-95.8159647",ap
"JACKSON, MI","32.2990384,-90.1847691",ap
"JACKSON, MS","32.2990384,-90.1847691",ap
"JACKSONVILLE, FL","30.3321838,-81.655651",ap
"JAMESTOWN, KS","39.59945,-97.861154",ap
"JANESVILLE, WI","42.6829765,-89.0226793",ap
"Janesville, WI","42.6829765,-89.0226793",ap
"JEFFERSON, GA","33.0380388,-82.436141",ap
"JEFFERSONVILLE, IN","38.2770227,-85.7371604",ap
"Jeffersonville, IN","38.2770227,-85.7371604",ap
"JENKS, OK","36.0228734,-95.9683278",ap
"JENNINGS, KS","39.679449,-100.293472",ap
"Jerome, ID","42.702266,-114.2867043",ap
"JERSEY, TN","35.0697955,-85.1927326",ap
"Jersey, TN","35.0697955,-85.1927326",ap
"JOFFRE, AB","52.333333,-113.533333",ap
"Joffre, AB","52.333333,-113.533333",ap
"JOHNSONBU, PA","41.4958474,-78.7126975",mg
"Joliet, IL","41.5263603,-88.0840212",ap
"JONES MILLS, AR","34.4375911,-92.887672",ap
"JONESBURG, MO","38.8533773,-91.3059895",ap
"JONQUIERE, PQ","48.4345609,-71.6239939",mg
"JOYCE, LA","39.0272205,-76.5211657",ap
"JUDD, IA","42.4721921,-94.0496764",ap
"JUNCTION CITY, KS","39.0286093,-96.8313978",ap
"JUNCTION CITY, OR","44.2191935,-123.2047857",ap
"KALISPELL, MT","48.2022563,-114.3167117",ap
"KALIUM, SK",",",
"KAMLOOPS, BC","50.6758269,-120.3394159",ap
"Kamloops, BC","50.6758269,-120.3394159",ap
"KANCITY, KS","39.1234171,-94.8888642",mg
"KANE, PA","41.6628394,-78.8111427",ap
"KANKAKEE, IL","41.1200325,-87.8611531",ap
"KANORADO, KS","39.3330542,-102.0379596",ap
"KANSAS CITY, KS","39.1134562,-94.626497",ap
"KANSAS CITY, MO","39.100105,-94.5781416",ap
"Kaolin, AL","34.6275827,-85.5816319",ap
"KAPUSKASING, ON","49.416667,-82.433333",ap
"KARNSCITY, PA","40.9953725,-79.7441047",mg
"KAUKAUNA, WI","44.2780432,-88.2720503",ap
"KEARNY, NJ","40.7684342,-74.1454214",ap
"KENNEWICK, WA","46.2083948,-119.1202072",ap
"KENOSHA, WI","42.5846773,-87.8212263",ap
"Kenova, WV","38.4011434,-82.5769366",ap
"KENT, WA","47.3826903,-122.2270272",ap
"KENTON, OH","40.6478171,-83.6089968",ap
"KEOKUK, IA","40.3973423,-91.385202",ap
"KETTLE FALLS, WA","48.6105163,-118.0563379",ap
"Kettle Falls, WA","48.6105163,-118.0563379",ap
"KILLY, BC","54.498175,-122.6677335",ap
"Killy, BC","54.498175,-122.6677335",ap
"KIMBERLY RAMOS, CU","25.5982739,-100.883507",ap
"KIMBROUGH, AL","32.0334816,-87.5652783",ap
"KINDER, LA","30.4829047,-92.8839898",mg
"Kindersley, SK","51.4687094,-109.1581355",ap
"King,  WA","47.4873376,-121.8622122",ap
"KINGS PARK, CA","49.66504085,-112.8194826",ap
"Kings Park, CA","49.66504085,-112.8194826",ap
"KINGSPORT, TN","36.550238,-82.5594293",ap
"Kiowa, OK","34.9425062,-99.019906",ap
"KIRK YARD, IN","41.6319878,-87.4055848",ap
"KITTANNIN, PA","40.8262201,-79.5562999",mg
"KLAMATH FALLS, OR","42.224867,-121.7816704",ap
"KNOXVILLE, TN","35.9603948,-83.9210261",ap
"Knoxville, TN","35.9603948,-83.9210261",ap
"KOKOMO (USRP), IN","40.4839832,-86.1421344",mgdc
"Krannert, GA","34.2912781,-85.330362",ap
"KREAMER, PA","40.8031403,-76.9638655",ap
"KREMLIN, WI","45.650796,-87.8448432",ap
"KUNA, ID","43.4918307,-116.4201223",ap
"LA DORE, PQ","48.7126352,-72.6834644",mg
"La Dore, PQ","48.7126352,-72.6834644",mg
"LA GRANDE, OR","45.3246068,-118.0878695",ap
"LA JUNTA, CO","37.9850091,-103.5438321",ap
"LA PORTE, TX","29.6657838,-95.0193729",ap
"LA SARRE, PQ","48.8209327,-79.3301084",mg
"La Sarre, PQ","48.8209327,-79.3301084",mg
"LA TUQUE, PQ","48.0127106,-75.9592053",mg
"LA UNION, PU","19.912222,-97.474444",ap
"LA VENTA, JA","20.730686, -103.544947",dc
"LACHINE, PQ","45.4472958,-73.7471309",mg
"Lachine, PQ","45.4472958,-73.7471309",mg
"LACLEDE, ID","48.1701889,-116.7560286",ap
"Lacoochee, FL","28.464018,-82.2037682",mg
"LACYMARK, FL","30.2121749,-82.6484571",ap
"LAFAYETTE, IN","40.4167022,-86.8752869",ap
"Lafayette, IN","40.4167022,-86.8752869",ap
"LAFAYETTE, LA","30.2240897,-92.0198427",ap
"LAKE CHARLES, LA","30.2265949,-93.2173759",ap
"Lake Charles, LA","30.2265949,-93.2173759",ap
"Lake City, FL","30.1896756,-82.6392899",ap
"LAKE CITY, SC","33.8709959,-79.7553452",ap
"LAKELAND, FL","28.0394654,-81.9498042",ap
"Lakeland, FL","28.0394654,-81.9498042",ap
"LAKEVIEW, OR","42.1887721,-120.345792",ap
"LAKEVILLE, MN","44.650051,-93.2432791",ap
"LANCASTER, PA","40.03813,-76.3056686",ap
"Lander,  NV","39.9059878,-116.9843374",ap
"Lane,  OR","43.9792797,-120.737257",ap
"LANG, SK","49.9189149,-104.3715121",ap
"LANSING, MI","42.7337712,-84.5553805",ap
"LAPACIFIC, TX",",",
"LAPAZ, IN","41.4554308,-86.3277102",mg
"LaPorte, TX","41.6105983,-86.7225227",ap
"LARCH, MI","45.7896896,-87.064581",ap
"Larch, MI","45.7896896,-87.064581",ap
"LAREDO, TX","27.5199841,-99.4953764",ap
"LaSalle,  IL","41.352456,-89.03874247",ap
"Lassen,  CA","40.7685579,-120.730998",ap
"LATHROP, CA","37.8227046,-121.27661",ap
"LAUREL , MT","45.6691159,-108.7715328",ap
"LAURENS, SC","34.4646451,-81.9944042",ap
"LAVINGTON, BC","50.2311988,-119.1072976",ap
"Le Flore,  OK","34.8782244,-94.6852153",ap
"LEADER, SK","50.8867938,-109.5624801",mg
"LEBANON, KS","39.809734,-98.55562",ap
"LEBANON, TN","36.2079779,-86.2910945",ap
"LECHERIA, EM",,
"LEE CREEK, NC","35.285466,-76.647473",ap
"Lee Creek, NC","35.285466,-76.647473",ap
"LEIPSIC, OH","41.0983847,-83.9846655",ap
"LEJAC, BC","54.0622374,-124.7613775",ap
"Leland, NC","34.2562806,-78.0447143",ap
"LEMONT FURNACE, PA","39.9142424,-79.6697642",ap
"LEMONT, IL","41.673642,-88.0017261",ap
"LEMOYNE, AL","40.2412143,-76.894272",ap
"LEOLA, PA","40.087875,-76.1849534",ap
"LEON, GJ","21.1221765,-101.8061119",mg
"LEVANT, KS","39.3855585,-101.1948806",ap
"LEVELLAND, TX","33.5873164,-102.37796",ap
"Lewis,  WA","46.5612011,-122.4225561",ap
"LEWISTON, ID","46.4165506,-117.0176569",ap
"Lewiston, ID","46.4165506,-117.0176569",ap
"LEWISTOWN, PA","40.5992395,-77.571382",ap
"LEXINGTON, NE","40.78084,-99.741505",ap
"LEXINGTON, SC","33.98390015,-81.22601083",ap
"LIBERAL, KS","37.0430812,-100.920999",ap
"Lillooet, BC","50.6912237,-121.9398265",ap
"LIMA, OH","40.742551,-84.1052256",ap
"Lima, OH","40.742551,-84.1052256",ap
"LIMON, CO","39.2648545,-103.6931237",ap
"LINCOLN, CA","43.1661027,-79.4766591",ap
"LINCOLN, NE","40.8,-96.667821",ap
"LINDEN, AL","32.3062535,-87.7980665",ap
"LINDEN, NJ","40.6220478,-74.2445902",ap
"Linton, IN","39.0347666,-87.1658458",ap
"LINWOOD, NC","35.7506938,-80.3178306",ap
"LITHONIA, GA","33.7123305,-84.1051939",ap
"LITTLE FALLS, MN","45.9763545,-94.3625024",ap
"Little Mountain, UT","39.3905198,-111.340457",ap
"Live Oak, FL","30.2949457,-82.98402",ap
"LIVINGSTON, AL","32.5843026,-88.1872474",ap
"LIVONIA, LA","42.36837,-83.3527097",ap
"LIVONIA, MI","42.36837,-83.3527097",ap
"LOCKBOURNE, OH","39.8092301,-82.972404",ap
"LOCUST, NC","35.2598655,-80.4253426",ap
"LOLITA, TX","28.8377805,-96.5432589",ap
"Lone Wolf, OK","34.9895013,-99.2495245",ap
Long,",",
"LONG BEACH, CA","44.4567705,-78.7359702",ap
"LONGUEUIL, PQ","45.5112881,-73.5780124",mg
"LONGVIEW, TX","32.5007038,-94.7404891",ap
"Longview, TX","32.5007038,-94.7404891",ap
"LORENZO, IL","39.2070698,-123.1867583",ap
