,0,1
SULPHURIC ACID,SULPHURIC ACID,"""2819315"""
FMG SULFRC ACID,FUMING SULFURIC ACID,"""2819340"""
HYDROCHLORIC AC,HYDROCHLORIC ACID,"""2819450"""
HYDROCHLORIC ACID,HYDROCHLORIC ACID,"""2819450"""
MURIATIC ACID,MURIATIC (HYDROCHLORIC) ACID,"""2819450"""
PHOSPHORIC ACID,PHOSPHORIC ACID,"""2819454"""
"ACID,NEC,LIQ","ACIDS, INORGANIC, N.E.C., LIQUID","""2819491"""
IRON CHLORIDE,"IRON CHLORIDE OR MURIATE, DRY","""2819521"""
ZINC CHLORIDE,"ZINC CHLORIDE, LIQUID","""2819542"""
AL CLOROHYDRT S,ALUMINUM CHLOROHYDRATE SOLUTION,"""2819633"""
RADIOACTIVE MTL,"RADIOACTIVE MATERIALS, ARTICLES OR ISOTOPES","""28197"""
AMMONIA,AMMONIA ANHYDROUS,"""2819815"""
"AMMONIA, ANHYDR",AMMONIA ANHYDROUS,"""2819815"""
DI CALCIUM PHOS,"DI-CALCIUM OR MONO- CALCIUM PHOSPHATE, FEED GRADE","""2819910"""
SODIUM CHLORATE,SODIUM CHLORATE,"""2819924"""
HYDROGEN PEROXI,HYDROGEN PEROXIDE (HYDROGEN DIOXIDE),"""2819931"""
SDM SILICATE,"SODIUM SILICATE, DRY","""2819974"""
SODIUM SILICATE,"SODIUM SILICATE, DRY","""2819974"""
SULPHUR DIOXIDE,SULPHUR DIOXIDE (SULPHUROUS ACID ANHYDRIDE),"""2819997"""
CAL THIOSULFATE,THIOSULPHATE SOLUTION,"""2819998"""
ELEVATED TEMPER,PLASTIS MATERIALS OR SYNTHETIC RESINS,"""28211"""
"HYDROCARBONS, L","HYDROCARBON RESINS, PETROLEUM, NOT COMMERCIALLY SUITABLE FOR EXTRUDING OR MOLDING PURPOSES, IN FLAKE, LIQUID, LUMP, POWDER OR SOLID MASS FORM","""2821132"""
POLYPROPYLENE,"POLYPROPYLENE, OTHER THANLIQUID","""2821139"""
POLYSTYRENE,"POLYSTYRENE, OTHER THAN LIQUID","""2821140"""
POLYVINYL,"POLYVINYL CHLORIDE, OTHERTHAN LIQUID","""2821141"""
POLYETHYLENE,"POLYETHYLENE, OTHER THAN LIQUID","""2821142"""
PLASTICS,"PLASTICS, NEC, LIQUID","""2821143"""
PLASTIC,"PLASTICS, NEC, LIQUID","""2821143"""
SYN PLSTC LQD,"PLASTICS, RESINS OR GUMS, N.E.C., LIQUID","""2821143"""
PLYETHIN TRPHTH,"POLYETHYLENE, TEREPHTHALATE","""2821156"""
"FLAKES,POWDER","FLAKES, POWDER","""2821163"""
"FLAKES,POWDER  ","FLAKES, POWDER","""2821163"""
PLYPHYNE OXIDE ,POLYPHENYLENE OXIDE BASE THERMOPLASTIC RESIN,"""2821173"""
"LATEX,LIQ RBR","LATEX (LIQUID RUBBER), SYNTHETIC","""2821245"""
"PETROLATUM,MED","PETROLATUM, MEDICINAL (PETROLEUM JELLY) (VASELINE)","""2831176"""
"SOAP,NEC,LIQ   ","SOAP, N.E.C., LIQUID","""2841990"""
STABILIZERS,"STABILIZERS, PLASTIC, LIQUID, OTHER THAN WATER SOLUBLE","""2843140"""
"TALL OIL, CRUDE","TALL OIL (PRODUCT OF ACIDIFICATION OF SKIMMINGS OF SODA, OR SULPHATE BLACK LIQUOR), CRUDE","""2861235"""
PITCH TALL OIL,"PITCH, TALL OIL","""2861276"""
PITCH TALL OIL ,"PITCH, TALL OIL","""2861276"""
MAMON PHOS FERT,MONOAMMONIUM PHOSPHATE FERTILIZER,"""2871236"""
MONOAMMONIUM PH,MONOAMMONIUM PHOSPHATE FERTILIZER,"""2871236"""
AM NIT FERT DRY,AMMONIUM NITRATE FERTILIZER DRY,"""2871244"""
LIQUID FERTILIZ,"LIQUID FERTILIZER NON HAZARDOUS, PHOSGRAD 0 28 25 AND PHOSGRAD 4 25 15","""2871311"""
"NITRO FERT,N AM","NITROGEN FERTILIZER SOLUTION, CONSISTING OF WATER AND AGRICULTURAL NITROGEN SALTS, NOT AMMONIATED","""2871313"""
NITRGN FRT SOL ,"NITROGEN FERTILIZER SOLUTION, CONTAINING 2% FORMALDEHYDE","""2871317"""
NITRO FERT     ,"NITROGEN FERTILIZER SOLUTION, CONTAINING 2% FORMALDEHYDE","""2871317"""
NITROGEN FERT  ,"NITROGEN FERTILIZER SOLUTION, CONTAINING 2% FORMALDEHYDE","""2871317"""
NTRGNFERT TO35%,NITROGEN FERTILIZER SOL- UTION WITH CALCIUM CON- SISTING OF 36.5% CALCIUM NITRATE AND 30.9% AMMONI-UM NITRATE SOLUTION (CAL-CIUM AMMONIUM NITRATE SOLUTION CAN 1,"""2871321"""
FERTILIZER,FERTILIZER,"""2871430"""
COMPOUNDS FERT ,"COMPOUNDS, FERTILIZING, NEC, DRY (MANUFACTURED FERTILIZERS)","""2871431"""
OIL,"OIL EMULSION, LIQUID","""2879942"""
TREE WD KLG CPD,"TREE OR WEED KILLING COMPOUNDS, N.E.C.","""2879958"""
FLAMMABLE LIQUI,CHEMICALS OR ALLIED PRODUCTS,"""28999"""
FLAMMABLE LIQUIDS,CHEMICALS OR ALLIED PRODUCTS,"""28999"""
SALT,"SALT, COMMON","""28991"""
SODIUM CHLORIDE,SODIUM CHLORIDE,"""28991"""
SALT IN BULK,"SODIUM CHLORIDE (SALT, COMMON), IN BULK","""2899112"""
ACIDS FATTY    ,FATTY ACIDS,"""28994"""
ESTERS FTY ACID,"ESTERS OF VEGETABLE, FISH OR ANIMAL OILS, NEC, OR TALL OIL FATTY ACID","""2899415"""
"ESTRS,DIESEL F","METHYL ESTERS, (METHYL SOYATE) FROM VEGETABLE OILS, USED FOR DIESEL FUEL AND DIESEL FUEL BLENDING","""2899416"""
"ESTRS,DIESEL F ","METHYL ESTERS, (METHYL SOYATE) FROM VEGETABLE OILS, USED FOR DIESEL FUEL AND DIESEL FUEL BLENDING","""2899416"""
FATTY ACIDS,PETROLEUM FATTY ACIDS,"""2899463"""
COMPDS WAT CLAR,"COMPOUNDS,  WATER CLARIFYING,  HARDENING, PURIFYING OR SOFTENING NEC, NOT MEDICATED NOR PERFUMED, LIQUID OR PASTE","""2899530"""
BLACKS DRY COMP,"BLACKS, CARBON (GAS OR OIL), DRY, COMPRESSED, ELECTROSTATICALLY SEPA- RATED, FILTERED OR GRAN- ULATED, NOT ACTIVATED, NOT DYES NOR DYESTUFFS","""2899610"""
COMBUSTIBLE LIQ,"CHEMICALS, N.E.C. HAZARD CLASS 3 (FLAMMABLE AND COMBUSTIBLE LIQUIDS","""2899790"""
DEFOAMING CPD,"DEFOAMING COMPOUND, N.E.C., LIQUID","""2899828"""
"ADDITIVES,FUEL",ADDITIVES FUEL OIL,"""2899885"""
"TOXIC LIQUID, F","TOXIC LIQUID, FLAMMABLE, ORGANIC, NOS. INHLA HAZARDOUS PACKAGE GROUP 1, ZONE B, IN BULK OR CONTAINER, RV NE $2.50 PER LB","""2899904"""
NITROGN STBLZR ,"NITROGEN STABILIZER OR INHIBITING AGENT, LIQUID","""2899945"""
"CHEM,NEC HZ 4.2","CHEMICALS, N.E.C. HAZARD CLASS 4.2 DANGEROUS WHEN WET MATERIALS","""2899991"""
"CHEM,NEC HZ 8","CHEMICALS, N.E.C. HAZARD CLASS 8 CORROSIVE MATERIALS","""2899991"""
"CHEM,NEC HZ 9","CHEMICALS, N.E.C. HAZARD CLASS 9 MISCELLANEOUS HAZARDOUS MATERIALS","""2899991"""
"CHEMICALS, NEC ","CHEMICALS, N.E.C.","""2899991"""
POTASSIUM FORMA,"POTASSIUM FORMATE - NON REGULATED, NON-HAZARDOUS,LIQUID SOLUTION IN WATER.","""2899992"""
OCTANES        ,Petroleum refining products exc. liquified petroleum gases see 2912 or petroleum coke see 2991,"""29111"""
"FUEL, AVIATION,",AVIATION GASOLINE,"""2911151"""
GASOLINE       ,GASOLINE,"""2911151"""
GAS OIL        ,"GASOLINE/GASOHOL, AUTOMO-TIVE","""2911159"""
GASOLINE-VP FUELS,"GASOLINE, N.E.C","""2911190"""
FUEL OIL       ,FUEL OIL,"""2911326"""
FUEL OIL DISTL,FUEL OIL,"""2911326"""
"FUEL OIL, BURNE","FUEL OIL, BURNER DOD GUARANTEED TRAFFIC","""2911328"""
DIESEL FUEL    ,DIESEL FUEL,"""2911331"""
PET LUB OIL,PETROLEUM LUBRICATING OIL,"""2911415"""
MINERAL OIL,MINERAL OIL,"""2911425"""
ASPHALT,ASPHALT,"""2911610"""
ASPH PETRO LIQ,"ASPHALT, PETROLEUM, LIQUID, AND TALL OIL PITCH, MIXED","""2911670"""
RESID FUEL OIL,RESIDUAL FUEL OIL,"""29117"""
RESIDUM PET OIL,RESIDUUM PETROLEUM OIL,"""2911740"""
"PETRO OIL,NEC","PETROLEUM OIL, NEC","""2911791"""
TRANSFORMER OIL,TRANSFORMER OIL,"""2911901"""
PETROLAT N MED,"PETROLATUM OR PETROLATUM PREPARATIONS, INCLUDING PETROLEUM JELLY, NOT MEDICINAL","""2911946"""
RUBBER EXTENDER,"RUBBER EXTENDER OR PROCESSING OIL, PETROLEUMBASE","""2911957"""
PETROLM INK OIL,PETROLEUM INK OIL,"""2911978"""
ALKYLTE GAS BLD,"ALKYLATE, GASOLINE BLEND STOCK","""2911983"""
PARAFFIN WAX,"PARAFFIN OR PETROLEUM WAX, N.E.C.","""2911990"""
"BUTADIENE, IN","BUTADIENE FROM PETROLEUM, INHIBITED","""2911995"""
LIQUEFIED PETRO,LIQUEFIED PETROLEUM GASES,"""2912"""
LPG,LIQUEFIED PETROLEUM GASES,"""2912"""
PETRO GAS LQD,LIQUEFIED PETROLEUM GASES,"""2912"""
PETROLEUM GASES,LIQUEFIED PETROLEUM GASES,"""2912"""
BUTANE,"BUTANE GAS, LIQUEFIED","""2912110"""
BUTANE GAS LQD,"BUTANE GAS, LIQUEFIED","""2912110"""
GAS PROPANE,GAS PROPANE LIQUEFIED,"""2912111"""
BUTANE         ,GAS ISOBUTANE LIQUIFIED,"""2912112"""
GAS ISOBUTANE,GAS ISOBUTANE LIQUIFIED,"""2912112"""
ISOPENTANE     ,PETROLEUM ISOPENTANE OR PENTANE,"""2912125"""
PROPYLENE,PROPYLENE,"""2912128"""
"PETRO BYPRD,FFP","PETROLEUM BY-PRODUCT, N.E.C.CONSISTING OF IMPURE BU- TANE, BUTYLENE OR BUTADI-ENES FOR FURTHER PROCES- SING","""2912181"""
BRAKE FLUID,"BRAKE FLUID, OTHER THAN PETROLEUM","""2991210"""
LUBRICATION OIL,LUBRICATION OIL,"""2991231"""
"MOTOR FUEL,NEC","MOTOR FUEL, N.E.C., LIQUID (BLENDS OF ALCOHOL AND PETROLEUM OR TAR PRODUCTS)","""2991240"""
"PETRO COKE,CALC","PETROLEUM COKE, CALCINED, GROUND OR NOT GROUND","""2991315"""
COKE,COKE,"""2991425"""
"COKE,NEC","COKE, NEC","""2991490"""
BITUMINOUS COAL,BITUMINOUS COAL,"""2991950"""
"PIPE,SYPL      ","PANELS, HOLLOW CORE, GLASS FIBRE IMPREGNATED WITH SYNTHETIC PLASTIC","""3071930"""
"RR TIES,PLASTIC","RAILROAD TIES,PLASTIC","""3071987"""
"GLYCERINE,CRUDE","GLASS, SINGLE LAYER, CUT TO SHAPE FOR BODY PROTECTIVE SHIELDS, GOGGLES, HELMETS OR SUNGLASSES, OTHER THAN OPTICALLY GROUND FOR VISION CORRECTIVE PURPOSES","""3229990"""
HYDRAULIC CMT,HYDRAULIC CEMENT,"""3241"""
CEMENT,"CEMENT, HYDRAULIC, PORTLAND","""3241115"""
BRICK COMMON,"BRICK, BUILDING, COMMON","""32511"""
"INGOTS,PIGS,CU","INSERTS, REFRACTORY, INGOT MOLD OR STOOL PROTECTING, CONSISTING OFCARBON, GRAPHITE, SILICONCARBIDE AND FERROUS METALS","""3255283"""
LM COM QK,"LIME, COMMON, QUICK","""3274110"""
GYPSUM CONCRETE,GYPSUM CONCRETE,"""3275220"""
GYPSUM WALLBOAR,GYPSUM WALLBOARD,"""3275440"""
"CINDERS,CLAY","CINDERS, CLAY, SHALE (EXPANDED SHALE), SLATE OR VOLCANIC (NOT PUMICE STONE), OR HAYDITE","""3295215"""
OILFIELD MUD PRODUCTS,"MUD, N.E.C., GAS OR OIL WELL DRILLING","""3295220"""
KAOLIN & WTR,"KAOLIN AND WATER MIXED, NOT MORE THAN 70 PERCENT KAOLIN, IF MIXTURE SHOULDEXCEED 70 PERCENT BY A FRACTION LESS THAN 1 PERCENT, SUCH MIXTURE WILL BE CONSIDERED W","""3295230"""
"KAOLIN,N PROC","KAOLIN, NOT PROCESSED BEYOND WASHING, AIR FLOATING, GRINDING, DRYING, CALCINING AND/OR TREATMENT WITH CHEMICALS ONLY TO EXTENT N.E.C.ESSARY TO DISPERSE OR REMOVE I","""3295231"""
CLAY CR GD PULV,"CLAY, N.E.C., CRUSHED, GROUND OR PULVERIZED, OR BALL CLAY OR BENTONITE","""3295232"""
"SLAG,NEC,GRNLD","SLAG, N.E.C., CRUSHED, GRANULATED, GROUND OR PULVERIZED, WITHOUT COMMERCIAL VALUE FOR THE FURTHER EXTRACTION OF METAL","""3295291"""
MGSTE CALCINED,"MAGNESITE, CALCINED","""3295310"""
MGSTE CALCINED ,"MAGNESITE, CALCINED","""3295310"""
GYPSUM,GYPSUM,"""3295610"""
GYPSUM GROUND  ,"GYPSUM, GROUND POWDERED OR PULVERIZED","""3295610"""
SLURRY,MARBLE SLURRY,"""3295929"""
"LIMESTONE,GRND","LIMESTONE, GROUND FOR ACID SOIL TREATMENT","""3295948"""
LMST SLRY,"LIMESTONE SLURRY, CON- SISTING OF GROUND LIME- STONE AND WATER, MIXED","""3295956"""
"PELLETS,NMMNRLS","PELLETS, SHOT OR SPHERES,OIL OR GAS WELL FRACTURE PROPPING OR SUPPORTING, NONMETALLIC MINERALS INCLUDING CERAMICS, RESINCOATED OR NOT COATED","""3295975"""
RFG GRANULES,ROOFING GRANULES,"""3295980"""
PIG IRON,PIG IRON,"""3311115"""
SLAG,FURNACE SLAG,"""33112"""
"SLAG, FURNACE","SLAG, CRUDE, PRODUCT OF IRON OR STEEL FURNACES","""3311290"""
CRD METLC IRON,"CRUDE METALLIC IRON, NOT COMPLETELY REDUCED, HAVING VALUE ONLY FOR SMELTING PURPUSES","""3311515"""
MIL CINDER IORS,"MILL CINDER OR MILL SCALE, IRON OR STEEL","""3311945"""
STEEL,STEEL WORKS & ROLLING MILL PRD,"""3312"""
"BILLETS,IORS","BILLETS, IRON OR STEEL","""33121"""
"INGOTS,IORS","INGOTS, IRON OR STEEL, OTHER THAN COPPER CLAD","""3312122"""
SLABS IORS,"SLABS, IRON OR STEEL, IN THE ROUGH","""3312140"""
SLABS STLS STEL,"SLABS, STAINLESS STEEL","""3312142"""
STEEL PLATE    ,STEEL PLATE,"""3312253"""
PLATE IORS NEC,"PLATE, IRON OR STEEL, N.E.C., PERFORATED","""3312256"""
IRON/STEEL PLAT,"PLATES, STRUCTURAL, N.E.C., IRON OR STEEL","""3312260"""
PLT STUL IORS,"PLATES, STRUCTURAL, N.E.C., IRON OR STEEL","""3312260"""
SHEET STEEL,SHEET STEEL,"""33123"""
"SHEET,IORS,NEC","SHEET, IRON OR STEEL (SHEET IRON OR STEEL), N.E.C., PLAIN, GALVANIZED, LEADED, PRIMED OR TARRED,OR PAINTED OR LACQUERED WITH ONE COAT OR BOTH, ONE COLOR ONLY","""3312331"""
"BARS,SHEET,IORS","BARS, SHEET, IRON OR STEEL","""3312420"""
BARS IORS      ,"BARS, IRON OR STEEL, NEC","""3312433"""
"BARS,IORS,NEC","BARS, IRON OR STEEL, NEC","""3312433"""
RODS IORS,"RODS, IRON OR STEEL, COILED, ROUGH HOT ROLLED","""3312455"""
RODS IORS      ,"RODS, IRON OR STEEL, COILED, ROUGH HOT ROLLED","""3312455"""
WIRE RODS,"RODS, IRON OR STEEL, COILED, ROUGH HOT ROLLED","""3312455"""
REINFCMNT RODS ,"BARS OR RODS, CONCRETE ORPLASTER REINFORCEMENT, IRON OR STEEL","""3312468"""
REINFCMNT RODS,"BARS OR RODS, CONCRETE ORPLASTER REINFORCEMENT, IRON OR STEEL","""3312468"""
ANGLES IORS    ,"ANGLES, IRON OR STEEL, N.E.C.","""3312523"""
STEEL BEAMS    ,"BEAMS, IRON OR STEEL, N.E.C.","""3312528"""
"BEAMS,IORS,NEC","BEAMS, IRON OR STEEL, N.E.C.","""3312528"""
PIPE IRON      ,"PIPE OR TUBING, IRON OR STEEL, WROUGHT, OUTSIDE DIAMETER NOT EXCEEDING 12INCHES, NOT THINNER THAN 10 GAUGE, MADE FROM SKELPIRON OR STEEL OR MADE FROM INGOTS, BI","""3312639"""
PP OR TBG IORS,"PIPE OR TUBING, IRON OR STEEL, WROUGHT, OUTSIDE DIAMETER NOT EXCEEDING 12INCHES, NOT THINNER THAN 10 GAUGE, MADE FROM SKELPIRON OR STEEL OR MADE FROM INGOTS, BI","""3312639"""
PIPE IOS NEC,"PIPE, IRON OR STEEL, N.E.C.","""3312663"""
PIPE TUBG IORS,"PIPE BILLET TUBING, IRON OR STEEL","""3312664"""
"TUBING,IORS","TUBING, IRON OR STEEL, SEAMLESS OR WELDED","""3312668"""
"TUBING,IORS    ","TUBING, IRON OR STEEL, SEAMLESS OR WELDED","""3312668"""
OIL CSNG ORTBNG,"OIL COUNTRY CASING OR TUBING, WROUGHT IRON OR STEEL","""3312676"""
RY TRACK MATL,RAILWAY TRACK MATERIAL,"""33128"""
RAILS,"RAILWAY TRACK RAIL OR TEERAIL GUARD, IRON OR STEEL","""3312837"""
AL ALY BLOOMS,"ALUMINUM ALLOY BILLETS, BLOOMS, INGOTS, PIGS OR SLABS","""3313426"""
TIES           ,"TIES, BALING OR BINDING, N.E.C., WIRE","""3315565"""
LEAD INGOTS,"LEAD BARS, BLOCKS OR INGOTS","""3332115"""
"ZINC PIG,SLAB","ZINC PIGS, SLABS OR SPELTER","""3333120"""
ALUMN BILLETS,"ALUMINUM BILLETS, BLOOMS,INGOTS, PIGS OR SLABS","""3334110"""
"FORGINGS,NEC","FORGINGS, N.E.C., IRON OR STEEL, IN THE ROUGH","""3391126"""
"CRUS,GRIN BALL","BALLS, CRUSHING OR GRINDING, IRON","""3399955"""
STEAM CONDENSER,STEAM CONDENSERS OR STEAMCONDENSERS AND PUMPS COMBINED,"""3443130"""
WND TURB TOWER,"TOWERS, N.E.C., STEEL OR STEEL AND WOOD","""3443567"""
SHINGLES ASPHLT,"SHINGLES, ALUMINUM, BACKED WITH ASPHALT SATURATED PAPER","""3444165"""
FENCE POSTS IR ,"FENCE POSTS, IRON OR STEE","""3481328"""
PIPE PL IORS,"PIPE, IRON OR STEEL, NICKEL PLATED","""3499435"""
PIPE STL       ,"PIPE OR TUBING, IRON OR STEEL, SOLDER COATED","""3499437"""
PIPE TUBG IORS ,"PIPE OR TUBING, IRON OR STEEL, SOLDER COATED","""3499437"""
PIPE IORS NEC  ,"PIPE, IRON OR STEEL, TIN LINED, N.E.C.","""3499439"""
"SPOOLS,IRN,STL ","SPOOL BARRELS, CENTERS ORDRUMS, N.E.C., IRON OR STEEL","""3499872"""
TRK TEST CARS,RAIL FLAW DETECTOR CAR,"""3531231"""
WND TURB BLADES,Miscellaneous general industrial machinery or equipment,"""3569"""
WND TURBI GENER,Miscellaneous general industrial machinery or equipment,"""3569"""
WND TURBINE HUB,Miscellaneous general industrial machinery or equipment,"""3569"""
COOLING BOXES,"COOLING BOXES, N.E.C.","""3585320"""
LUBE OIL       ,"LUBRICATORS OR GREASE CUPS, N.E.C., OTHER THAN AUTOMATIC, OTHER THAN IRON OR STEEL","""3599922"""
TRANSFORMER,"TRANSFORMER PARTS, ELECTRIC, N.E.C.","""3612128"""
WASHING MACH HH,"WASHERS (WASHING MACHINES), IN MIXED LOADSWITH DRYING MACHINES (DRYERS) OR IRONING MACHINES (IRONERS), HOUSEHOLD-TYPE LAUNDRY","""3633135"""
ELEC APLNCS,Miscellaneous household appliances,"""3639"""
AUTO BODY PARTS,"AUTOMOBILE BODY PARTS, SEPARATE OR COMBINED WITHEACH OTHER, VIZ. COWL TOP, HINGE PILLAR, LOWER BACK OR QUARTER OR QUARTER AND SIDE PANEL ASSEMBLIES, DASHES, INS","""3714702"""
AUTO PARTS MXD,"AUTOMOBILE (MOTOR VEHICLE) PARTS AND ACCESSORIES, IN MIXED LOADS","""3714995"""
"CRS,RWY FRT,NN",FREIGHT TRAIN CARS,"""37422"""
"CRS,RWY FRT,NOW",FREIGHT TRAIN CARS,"""37422"""
RAILCAR        ,"RAILCARS, FREIGHT, PRIVATE, NOT NEW","""3742217"""
"RWYCAR,ARTCULTD","RAILCARS, FREIGHT, PRIVATE, NOT NEW","""3742217"""
RR TRNG CAR,"RAILROAD TRAINING TANK CAR AND OTHER RAIL EQUIPMENT, MOVING ON WHEELS. SPECIAL EQUIPMENTFOR HAZMAT TRAINING. EXPEDITE TO DESTINATION PER BILLING. DO NOT HOLD OR","""3742264"""
"CRS,RWY FRT,MOW","CARS, RAILWAY FREIGHT, MOVING FOR DISMANTLING ORSCRAPPING, MOVED ON OWN WHEELS RAILROAD OWNED OR PRIVATELY OWNED, REVENUE MOVEMENT","""3742293"""
"CRS,FRT,SCRP,OW","CARS, RAILWAY FREIGHT, MOVING FOR DISMANTLING OR SCRAPPING, NOT MOVED ON OWN WHEELS","""3742295"""
RY CAR PARC RKS,RAILWAY PASSENGER CAR PARCEL RACKS,"""3742861"""
DENATURED ALCOH,"DENATURATED ALCOHOL OR DENATURATED ETHYL OR GRAIN ALCOHOL, LIQUID","""3842189"""
BURIAL CASKETS,"BURIAL CASES (CASKETS OR COFFINS), N.E.C.","""3994190"""
"FLY ASH,HV VALU","FLY ASH,HAVING FURTHER COMMERCIAL VALUE","""4011208"""
FLYASH,FLY ASH,"""4011208"""
SCRAP METAL,"METAL SCRAP, WASTE AND TAILINGS","""4021"""
SCRAP MTL      ,"METAL SCRAP, WASTE AND TAILINGS","""4021"""
SCRAP I OR S,IRON OR STEEL SCRAP,"""40211"""
SCRAP IRO STEEL,"SCRAP, IRON OR STEEL, N.E.C., NOT COPPER CLAD, HAVING VALUE FOR REMELTING PURPOSES","""4021125"""
SCRAP I STL CAS,"SCRAP IRON OR STEEL, CAST IRON, HAVING VALUE FOR REMELTING PURPOSES","""4021127"""
"SCRAP,IORS,SLST","SCRAP, IRON OR STEEL, STAINLESS, N.E.C., HAVING VALUE FOR REMELTING PURPOSES","""4021129"""
"RYTRK MTLS,IORS","RAILWAY TRACK MATERIALS, IRON OR STEEL, VALUE FOR REMELTING OR REROLLING PURPOSES ONLY","""4021148"""
SCRAP PAPER,"SCRAP OR WASTE PAPER, NOTSENSITIZED, OR FIBREBOARDOR PULPBOARD SCRAP OR WASTE","""4024115"""
CORRUGATED CUT,"CORRUGATED CUTTINGS OR CLIPPINGS, NEW, CONSIST- ING OF BALED CORRUGATED PULPBOARD HAVING LINERS OF EITHER TEST LINER, JUTE OR KRAFT. NOT IN- CLUDING INSOLUBLE A","""4024117"""
FLYLEAF SHAVING,FLYLEAF SHAVINGS,"""4024152"""
USED OIL,"WASTE OIL, N.E.C","""40251"""
SCRAP CARBON,SCRAP CARBON OR TURNINGS,"""4025110"""
PETROLEUM DISTI,"PETROLEUM DISTILLATES ANDDISULFIDE OIL SOLUTION, RESIDUAL","""4025123"""
CRKCS DRAININGS,"CRANKCASE DRAININGS, SUITABLE ONLY FOR RE-REFINING","""4025129"""
STYRENE MONOMER,"STYRENE MONOMER, LIQUID, SPENT, FOR RECYCLING OR REPROCESSING","""4025145"""
SDM SLFD/HYDROX,"SODIUM SULFIDE SOLUTIONS,SPENT,CONTAINING SODIUM HYDROXIDE","""4025167"""
"SOIL,CH WST,NEC","SOIL, CHEMICAL WASTE CONTAMINATED, N.E.C., DRY","""4029101"""
"SOIL,HV METL,NE","SOIL, HEAVY METAL CONTAMINATED, N.E.C., DRY","""4029102"""
"SLDS/DBRS,RDOAC","SOLIDS OR DEBRIS,OTHER THAN SOIL LOW-LEVEL RADIOACTIVE CONTAMIN- ATED,NEC,DRY","""4029105"""
"SOIL,LO RAD,NEC","SOIL, LOW-LEVEL RADIOACTIVE CONTAMINATED,NEC, DRY","""4029106"""
AUTO SHRDR RSDU,AUTOMOBILE SHREDDER RESIDUE,"""4029176"""
"RR TIES,WD SCRP","RAILROAD TIES, WOOD, WHOLE OR PROCESSED, SCRAP","""4029192"""
CONTAINERS,"Nonrevenue movement of containers, carriers or devices, shipping, empty, returning in reverse of route used in loaded movement, and so certified","""4211"""
EMPTY CONTAINERS,"Nonrevenue movement of containers, carriers or devices, shipping, empty, returning in reverse of route used in loaded movement, and so certified","""4211"""
"NREV,ECP,RIRV  ","NONREVENUE MOVEMENT OF CONTAINERS, EMPTY, RETURNED, USED IN THE TRANSPORTATION OF BEVERAGES, FLAVORED OR PHOSPHATED, MALT LIQUORS,VIZ. ALE, BEER, TONIC, STOUT O","""4211142"""
"NREV PALLET,SHP","NONREVENUE MOVEMENT OF PALLETS, PLATFORMS OR SKIDS, SHIPPING OR WAREHOUSE, IRON OR STEEL,USED, RETURNED EMPTY","""4211220"""
"NREV,ECP,RIRV","NONREVENUE MOVEMENT OF CONTAINERS, OR DEVICES, OR PARTS THEREOF VIZ. RACKS, CRATES, BINS, BRACES, BRACKETS, SPACER, HARS OR PROTECTIVE SHIELDS, FOR SHIPPING AUTOMOBILE PARTS, RETURNING IN REVERSE OF ROUTE USED IN LOADED MOVEMENT","""4211299"""
REV MTY CONTRS ,"REVENUE MOVEMENT OF BARRELS, DRUMS OR BULK COMMODITY CONTAINERS, SHIPPING, RUBBER, RETURNED EMPTY","""4231115"""
"REV BBLS,NEC   ","REVENUE MOVEMENT OF BARRELS, BULK COMMODITY CONTAINERS, DRUMS OR KEGS, N.E.C., SHEET IRON OR STEEL, SHIPPING, OLD (USED), RETURNED EMPTY","""4231180"""
"REV PALLET,SHPN","REVENUE MOVEMENT OF PALLETS, PLATFORMS OR SKIDS, SHIPPING OR WAREHOUSE, IRON OR STEEL,USED, RETURNED EMPTY","""4231220"""
"REV PALLETS,SHP","REVENUE MOVEMENT OF PALLETS, PLATFORMS OR SKIDS, SHIPPING OR WAREHOUSE, IRON OR STEEL,USED, RETURNED EMPTY","""4231220"""
FREIGHT FORWARD,FREIGHT FORWARDER TRAFFIC,"""4411110"""
FAK - CONTAINS ,"FREIGHT ALL KINDS, (FAK) OR ALL FREIGHT RATE SHIP-MENTS, N.E.C., OR TRAILER-ONFLATCAR SHIPMENTS, COMMERCIAL (EXCEPT IDEN- TIFIED BY COMMODITIES, THEN CODE BY COMMO","""4611110"""
FAK,"FREIGHT ALL KINDS, (FAK) OR ALL FREIGHT RATE SHIP-MENTS, N.E.C., OR TRAILER-ONFLATCAR SHIPMENTS, COMMERCIAL (EXCEPT IDEN- TIFIED BY COMMODITIES, THEN CODE BY COMMO","""4611110"""
INTERMODAL,"ALL FREIGHT RATE SHIPMENTS, N.E.C. WHEN LOADED IN ISO MARINE CONTAINERS",
HAZARDOUS,"HAZARDOUS WASTE, N.E.C.","""48501"""
"HAZARDOUS WASTE, LIQUID,N.O.S.","HAZARDOUS WASTE, N.E.C.","""48501"""
"HAZARDOUS WASTE, SOLID, N.O.S.","HAZARDOUS WASTE, N.E.C.","""48501"""
HAZMAT,"HAZARDOUS WASTE, N.E.C.","""48501"""
ENVIRONMENTALLY,WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE,"""48755"""
"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N.O.S.",WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE,"""48755"""
