Name,STCC,group
"COTTON LINTERS, BLEACHED OR DYED",2299926,FOOD & BEVERAGES
"CLOTH OR FABRIC, GARMENT INTERLINING, COTTON AND SYNTHETIC FIBRE COMBINED WITH GOAT HAIR, IN THE ORIGINAL PIECE",2299929,FOOD & BEVERAGES
"FABRIC, EROSION CONTROL, SYNTHETIC FIBRE AND PAPERCOMBINED",2299933,FOOD & BEVERAGES
"CLOTHS OR MATS OR CLOTH OR MATTING, FILTER PRESS,NEC",2299935,FOOD & BEVERAGES
"COTTON, JEWELERS",2299940,FOOD & BEVERAGES
"FABRICS OR PIECE GOODS, WOVEN, FINISHED, LINEN, IN THE ORIGINAL PIECE OR MILL END REMNANTS, NOT PARTIALLY OR WHOLLY MANUFACTURED ARTICLES",2299943,FOOD & BEVERAGES
"FABRICS OR PIECE GOODS, WOVEN, UNFINISHED, LINEN,IN THE ORIGINAL PIECE OR MILL END REMNANTS, NOT PARTIALLY OR WHOLLY MANUFACTURED ARTICLES",2299944,FOOD & BEVERAGES
"TEXTILE CLOTH, FABRICS ORPIECE GOODS, MIXED",2299970,FOOD & BEVERAGES
"FABRICS, WOVEN PAPER AND COTTON OR RAYON OR OTHER SYNTHETIC FIBRES, MIXED, RAYON OR OTHER SYNTHETIC FIBRES NOT MORE THAN 50 PERCENT, FINISHED",2299972,FOOD & BEVERAGES
"YARN, JUTE",2299980,FOOD & BEVERAGES
"BLAZERS, WOOL",2311110,BUILDING PRODUCTS
"SHIRTS, KNITTED, COTTON OR MIXED WITH OTHER FIBRES",2311175,BUILDING PRODUCTS
"SHIRTS, COTTON OR COTTON MIXED WITH NOT MORE THAN 50 PERCENT OF SYNTHETIC FIBRES, MADE OF ANY ONE OR COMBINATION OF FABRICS, VIZ. CHAMBRAYS, CORDUROYS, COTTONAD",2311180,BUILDING PRODUCTS
"CLOTHING, VIZ. BREECHES, COVERALLS, DUNGAREES, JACKETS, OVERALLS, PANTS OR SHIRTS, MADE OF ANY ONE OR ANY COMBINATION OFTHE FOLLOWING FABRICS MADE WHOLLY OF COT",2311181,BUILDING PRODUCTS
"UNDERWEAR, COTTON, OR MIXED, NOT TO EXCEED 50 PERCENT RAYON",2311185,BUILDING PRODUCTS
"CLOTHING, N.E.C., BOYS OR MENS",2311190,BUILDING PRODUCTS
"HOSIERY, INC. PANT-HOSE COMBINATIONS",2331140,FOOD & BEVERAGES
"CLOTHING, BOUFFANT OR CRINOLINE",2331145,FOOD & BEVERAGES
"CLOTHING, N.E.C., GIRLS OR WOMENS",2331190,FOOD & BEVERAGES
"BONNETS OR HATS, MILLINERY",2351115,FOOD & BEVERAGES
"MILLINERY, N.E.C.",2351190,FOOD & BEVERAGES
"HATS OR CAPS, FUR, NOT MILLINERY",2352115,FOOD & BEVERAGES
"HATS OR CAPS, OTHER THAN MILLINERY, PALM LEAF OR STRAW",2352125,FOOD & BEVERAGES
"CAPS, DOCTORS OR NURSES, SURGICAL, N.E.C., NOT MILLINERY",2352147,FOOD & BEVERAGES
"HATS OR CAPS, N.E.C., NOT MILLINERY",2352190,FOOD & BEVERAGES
"FUR GOODS, ROBES OR RUGS,NEC",2371191,FOOD & BEVERAGES
"WORKMENS GLOVES OR MITTENS, COTTON, OR PLASTIC COATED OR RUBBERIZED COTTON",2381210,FOOD & BEVERAGES
"WORK GLOVES OR MITTENS, HANGING ON RACKS OR STANDS",2381215,FOOD & BEVERAGES
"GLOVES OR MITTENS, COTTONCLOTH",2381220,FOOD & BEVERAGES
"GLOVES OR MITTENS, N.E.C.",2381290,FOOD & BEVERAGES
RAINCOATS,2385110,FOOD & BEVERAGES
"CLOTHING, WATERPROOF OR PROTECTIVE OUTERWEAR, RUBBER OR PLASTIC COATED CLOTH, UNLINED",2385120,FOOD & BEVERAGES
"BELTS, CLOTHING, N.E.C.",2387190,FOOD & BEVERAGES
"APRONS, COVERALLS, LABORATORY COATS, PANTS, SHIRTS OR CLOTHING, N.E.C., DISPOSABLE, PRODUCED FROMPAPER OR NONWOVEN CLOTH, WITH OR WITHOUT REIN- FORCEMENT OF MESH,",2389111,FOOD & BEVERAGES
HOSE SUPPORTERS,2389115,FOOD & BEVERAGES
"SWEATERS, KNITTED, COTTONOR MIXED WITH OTHER FIBRES",2389140,FOOD & BEVERAGES
"CURTAINS, SYNTHETIC PLASTIC, NOT WOVEN",2391110,FOOD & BEVERAGES
"CURTAINS, CLOTH",2391115,FOOD & BEVERAGES
"WALL HANGINGS, COTTON CLOTH, DYED, SURFACE COATED, PRINTED OR DECORATED",2391220,FOOD & BEVERAGES
COTTON TAPESTRIES OR TAPESTRY,2391240,FOOD & BEVERAGES
"SPREADS, BED AND PILLOW, COTTON",2392110,FOOD & BEVERAGES
"BED SPREADS, COTTON AND RAYON OR OTHER SYNTHETIC FIBRE",2392115,FOOD & BEVERAGES
"BED SPREADS, SYNTHETIC FIBRE",2392116,FOOD & BEVERAGES
"BEDSPREADS OR COVERLETS, QUILTED",2392120,FOOD & BEVERAGES
"SHEETS OR PILLOW CASES, COTTON",2392210,FOOD & BEVERAGES
"SHEETS OR PILLOW CASES, SYNTHETIC FIBRE",2392215,FOOD & BEVERAGES
"SHEETS OR PILLOW CASES, COTTON AND SYNTHETIC FIBRE",2392220,FOOD & BEVERAGES
"TOWELS, COTTON, COTTON AND RAYON, COTTON AND FLAX WASTE STOCK, COTTON,FLAX WASTE STOCK AND RAYON, OR COTTON AND ASBESTOS, ASBESTOS CONTENT NOT TO EXCEED 20 PERC",2392311,FOOD & BEVERAGES
"CLOTHS, WASH, COTTON",2392318,FOOD & BEVERAGES
"PILLOWS, N.E.C.",2392510,FOOD & BEVERAGES
"SEAT PADS OR CUSHIONS, STADIUM OR BLEACHER, PORTABLE, COTTON FILLED",2392515,FOOD & BEVERAGES
"HANDLES AND HOLDERS COMBINED, MOP",2392610,FOOD & BEVERAGES
"MOPS OR MOP PARTS, N.E.C.",2392615,FOOD & BEVERAGES
"DUSTERS, N.E.C., HOUSEHOLD",2392625,FOOD & BEVERAGES
"COMFORTS OR QUILTS, BED, WITH DOWN OR FEATHER FILLER",2392814,FOOD & BEVERAGES
"COMFORTS OR QUILTS, BED, WITH OTHER THAN DOWN OR FEATHER FILLER",2392815,FOOD & BEVERAGES
"BED PADS, COTTON CLOTH",2392910,FOOD & BEVERAGES
"BAGS, BEDDING OR CLOTH- ING, N.E.C., NOT TRAVELING OR CARRYING BAGS OR CASES",2392911,FOOD & BEVERAGES
"BAGS, CLOTHING, COTTON CLOTH, PYROXYLIN COATED",2392913,FOOD & BEVERAGES
"BAGS, GARMENT STORAGE, SYNTHETIC PLASTIC",2392922,FOOD & BEVERAGES
"CLOTHING BAGS, SYNTHETIC GUM, RESIN OR CELLULOSE DERIVATIVE PLASTIC",2392928,FOOD & BEVERAGES
"COVERS, IRONING BOARD, CLOTH, WITHOUT PADS OR PADDING",2392930,FOOD & BEVERAGES
"COVERS, BLANKET, COMFORT-ER OR PILLOW, COTTON, OR COTTON AND SYNTHETIC FIBRE, COTTON CONTENT MORE THAN 50 PERCENT",2392932,FOOD & BEVERAGES
"LINING, PADS OR PADDING, BLANKET, GARMENT, OR BED COMFORT, QUILT OR SPREAD,WOVEN SHODDY, OR UNWOVEN FIBRES, QUILTED OR STITCHED",2392937,FOOD & BEVERAGES
"CHAIR PADS, MADE OF OTHERTHAN CELLULAR, EXPANDED OR FOAMED MATERIAL, COVERED WITH OILCLOTH OR PLASTIC",2392943,FOOD & BEVERAGES
"BOLSTERS FOR BEDS, COUCHES OR LOUNGES, N.E.C.",2392947,FOOD & BEVERAGES
CHAISE LOUNGE CUSHIONS,2392950,FOOD & BEVERAGES
"CUSHIONS, N.E.C.",2392955,FOOD & BEVERAGES
"COVERS, OUTDOOR LAWN FURNITURE CUSHION, CLOTH,WITHOUT PADDING, LINING OR FILLING",2392958,FOOD & BEVERAGES
"PINCUSHIONS, UNFINISHED (SAWDUST IN COTTON BAGS)",2392965,FOOD & BEVERAGES
"BAGS OR POUCHES, CLOTH, COVERED OR LINED WITH FOIL OR FOIL AND CELLU- LOSE FILM COMBINED, OR PAPER AND FOIL COMBINED",2393116,FOOD & BEVERAGES
"BAGS, BARRACK OR DUFFEL",2393122,BUILDING PRODUCTS
"BAGS, MATTRESS (MATTRESS COVERS), N.E.C.",2393124,FOOD & BEVERAGES
"BAGS, NEW, BURLAP, GUNNY,ISTLE (IXTLE), JUTE OR SISAL, N.E.C.,",2393125,FOOD & BEVERAGES
"BAGS, BURLAP, RUBBERIZED",2393128,FOOD & BEVERAGES
"BAGS, SHOPPING, N.E.C., TEXTILE",2393136,FOOD & BEVERAGES
"BAGS, COTTON, RUBBERIZED",2393137,FOOD & BEVERAGES
"BAGS, COTTON PICKING",2393140,FOOD & BEVERAGES
"BAGS, BOOTS, POUCHES, SLEEVES OR TUBES, N.E.C., DUST, FUME, FILTER OR STRAINER, CLOTH, TO COLLECT, FILTER OR STRAINGASEOUS DRY, WET OR MOLTON MATERIALS",2393143,FOOD & BEVERAGES
"MAIL BAGS OR POUCHES, N.E.C.",2393146,FOOD & BEVERAGES
"BAGS, SHIPPING, RAYON",2393155,FOOD & BEVERAGES
"BAGS, WATER, CANVAS CLOTH",2393165,FOOD & BEVERAGES
"BAGS, CEMENT, OSNABURG",2393171,FOOD & BEVERAGES
"BAGS, COTTON, KNIT OR NET",2393174,FOOD & BEVERAGES
"BAGS, COTTON, N.E.C., CLAYEDOR NOT CLAYED",2393175,FOOD & BEVERAGES
"BAGS, COTTON, PAPER LINED",2393176,FOOD & BEVERAGES
"BAGS, DELIVERY, N.E.C., COTTON CLOTH",2393178,FOOD & BEVERAGES
"BAGS, VACUUM CLEANER, CLOTH, CANISTER TYPE, WITH VINYL OR RUBBER GASKETS ATTACHED",2393186,FOOD & BEVERAGES
"BACKPACKS, BACKPACK BABY CARRIERS, HAVERSACKS, KNAPSACKS OR PACK CARRI- ERS, N.E.C., COTTON, CANVAS,DUCK, NYLON OR SYNTHETIC FABRIC, WITH OR WITHOUT HARDWARE ATTAC",2393188,FOOD & BEVERAGES
TENTS,2394110,FOOD & BEVERAGES
"AWNINGS, CLOTH, WITH OR WITHOUT FRAMES OR FIXTURES",2394210,FOOD & BEVERAGES
"KITS, AIR CONDITIONER CONDENSER SHADING, CON- SISTING OF FIBREGLASS SCREEN CLOTH WITH AN ALUMINUM FRAME AND ALUMINUM SUPPORTS",2394242,FOOD & BEVERAGES
"COVERS, SHIPPING, TARPAULIN, FOR FREIGHT DURING TRANSPORTATION",2394315,FOOD & BEVERAGES
"TARPAULINS OR PAULINS, N.E.C.",2394390,FOOD & BEVERAGES
"BASKETS OR HAMPERS, CANVAS, WITH METAL OR WOOD FRAMES, COVERS OR BOTTOMS",2394915,FOOD & BEVERAGES
"CONVEYOR BELTS, LAUNDRY IRONING MACHINE, CANVAS",2394920,FOOD & BEVERAGES
"DOG BEDS, STEEL ROD AND CANVAS, WITHOUT CUSHIONS",2394933,FOOD & BEVERAGES
"CARGO CONTAINERS, AERIAL DELIVERY, CANVAS OR DUCK,WITH FITTINGS",2394950,FOOD & BEVERAGES
"CONCRETE ROAD CURING PADSOR PADDING, CANVAS",2394970,FOOD & BEVERAGES
"TANKS, WATER STORAGE, CANVAS",2394975,FOOD & BEVERAGES
"TURKEY BODY PROTECTIVE SADDLES, CANVAS",2394977,FOOD & BEVERAGES
"COVERS, LUGGAGE, CANVAS OR PLASTIC, OR CANVAS ANDPLASTIC, WITH ZIPPERS",2394984,FOOD & BEVERAGES
"QUILTED FABRIC, VIZ. UNWOVEN FIBRE BATTING, PADDING OR WADDING, STITCHED OR QUILTED BETWEEN FACINGS OF KNITTED OR WOVEN CLOTH, OTHER THAN QUILTED BLANKET, BED C",2395120,FOOD & BEVERAGES
"LINING, COVERING, PADS ORPADDING, CONSISTING OF PLASTIC FILM, QUILTED WITH OTHER THAN FOAM, CELLULAR, EXPANDED OR SPONGE RUBBER OR PLASTIC",2395125,FOOD & BEVERAGES
"SHIRT OR SHIRT COLLAR LININGS, COTTON, SHIRT COLLAR TOPS, COTTON, OR SHIRT WAISTBANDS, COTTON",2396133,FOOD & BEVERAGES
"HELMET LINERS, HARD FIBRE, WATERPROOFED, N.E.C.",2396145,FOOD & BEVERAGES
"GARMENT LINING, PADDED AND QUILTED, UNWOVEN, WOOL OR SYNTHETIC FIBRE OR COTTON COMBINED WITH WOOL OR SYNTHETIC FIBRE, BACKED OR FACED WITH CLOTH",2396155,FOOD & BEVERAGES
"BOWS, RIBBON",2396160,FOOD & BEVERAGES
"AUTO SEAT COVERS, CLOTH, FIBRE, OILCLOTH, RUBBER OR ARTIFICIAL LEATHER",2399110,AUTOMOTIVE
"BAGS, SLEEPING",2399310,FOOD & BEVERAGES
"PARACHUTES, N.E.C.",2399490,BUILDING PRODUCTS
"FENDER CLOTH OR COVERS, COTTON OR SYNTHETIC FIBERS",2399910,FOOD & BEVERAGES
"BANDOLEERS OR POUCHES, SMALL ARMS AMMUNITION, WITH SHOULDER SLINGS, COTTON",2399912,FOOD & BEVERAGES
"AUTO FENDER, HOOD, RADIA-TOR, SPRING, STEERING WHEEL, TIRE OR TOP COVERS, CLOTH, FIBRE, OILCLOTH, RUBBER OR ARTIFICIAL LEATHER",2399917,AUTOMOTIVE
"DRY GOODS SAMPLES, OTHER THAN COTTON",2399918,FOOD & BEVERAGES
"PIPE LINE CONSTRUCTION FORMS OR MOLDS, BURLAP ORCOTTON, WITH STEEL OR WIRE STRAPPING TIES",2399929,FOOD & BEVERAGES
"FLAGS, N.E.C.",2399932,FOOD & BEVERAGES
"HORSE BLANKETS OR COVERS,NEC",2399940,FOOD & BEVERAGES
"DIAPERS, COTTON",2399947,FOOD & BEVERAGES
"STRAPS, IMITATION LEATHEROR WEBBING, FITTED WITH BUCKLES, HOOKS OR OTHER FASTENINGS, N.E.C.",2399958,FOOD & BEVERAGES
"BELTS OR STRAPS, SEAT, SAFETY",2399960,FOOD & BEVERAGES
"MEAT WRAPPERS, COTTON, PRINTED OR NOT PRINTED",2399970,FOOD & BEVERAGES
"DRY GOODS, ALL MATERIALS,MIXED",2399989,FOOD & BEVERAGES
"DRY GOODS, N.E.C., OTHER THAN COTTON",2399990,FOOD & BEVERAGES
"DRY GOODS, N.E.C., COTTON",2399991,FOOD & BEVERAGES
"LOGS, FOREIGN WOOD, N.E.C.",2411110,BUILDING PRODUCTS
"LOGS, NATIVE WOOD, CANADIAN WOOD OR MEXICAN PINE",2411115,BUILDING PRODUCTS
"LOGS, BOXWOOD, COCOBOLO, EBONY, GRANADILLA, IRON- WOOD, LANCEWOOD, LIGNUM VITAE, MAHOGANY, ROSE- WOOD, SANDALWOOD, SATIN- WOOD, SPANISH CEDAR, TEAKWOOD OR VERMI",2411125,BUILDING PRODUCTS
"LOGS, APITONG, ASH, ASPEN, BASSWOOD, BEECH, BIRCH, BUCKEYE, BUTTER- NUT, CATIVA, CEDAR, CHERRY, CHESTNUT, COTTON-WOOD, CYPRESS, ELM, FIR, GUM, HACKBERRY, HEMLOC",2411152,BUILDING PRODUCTS
"LONG LOGS, EXCEEDING 8 FEET 5 INCHES IN LENGTH",2411165,BUILDING PRODUCTS
CROSSTIES,2411210,
"TIES, RAILROAD, WOODEN, NOT CREOSOTED NOR OTHERWISE PRESERVATIVELY TREATED",2411210,BUILDING PRODUCTS
"SHORT LOGS (NOT PULP- WOOD), VIZ. TIMBERS, ROUGH AS FROM THE TREE, SUITABLE FOR BOX OR LATH MAKING PURPOSES",2411310,BUILDING PRODUCTS
"PULPWOOD OR PULPWOOD LOGS, NOT EXCEEDING 5 FEET, 6 INCHES IN LENGTH",2411410,BUILDING PRODUCTS
"PULPWOOD OR PULPWOOD LOGS, EXCEEDING 5 FEET, 6INCHES IN LENGTH",2411411,BUILDING PRODUCTS
"PULPWOOD CHIPS, N.E.C.",2411515,BUILDING PRODUCTS
BREWERS OR VINEGAR CHIPS,2411520,BUILDING PRODUCTS
"FUSTIC OR LOGWOOD DYEWOODCHIPS OR DYEWOOD CHIPS, N.E.C.",2411525,BUILDING PRODUCTS
"WOOD CHIPS, CHARRED",2411540,BUILDING PRODUCTS
"WOOD CHIPS, NOT CHARRED, OTHER THAN PULPWOOD",2411545,BUILDING PRODUCTS
"PULPWOOD CHIPS, BROWNWOODS (DOUGLAS FIR/ LARCH)",2411550,BUILDING PRODUCTS
"PULPWOOD CHIPS, CEDAR",2411555,BUILDING PRODUCTS
"PULPWOOD CHIPS, HARDWOOD",2411560,BUILDING PRODUCTS
ASPEN PULPWOOD CHIPS,2411561,BUILDING PRODUCTS
"PULPWOOD CHIPS, MIXED SPECIES",2411570,BUILDING PRODUCTS
"PULPWOOD CHIPS, PINE",2411580,BUILDING PRODUCTS
"PULPWOOD CHIPS, SPRUCE ORFIR OTHER THAN DOUGLAS FIR",2411590,BUILDING PRODUCTS
BALSAM PULPWOOD CHIPS,2411591,BUILDING PRODUCTS
"PILING, WOODEN, NOT CREOSOTED NOR OTHERWISE PRESERVATIVELY TREATED",2411610,BUILDING PRODUCTS
"POLES, WOODEN, N.E.C., IN THE ROUGH OR ROUGH TURNED, NOT CREOSOTED NOROTHERWISE PRESERVATIVELY TREATED",2411615,BUILDING PRODUCTS
"PLANT POLES, WOODEN, IN THE ROUGH OR ROUGH TURNED, NOT CREOSOTED NOROTHERWISE PRESERVATIVELY TREATED",2411620,BUILDING PRODUCTS
"POSTS, FENCE, WOODEN, NOTCREOSOTED NOR OTHERWISE PRESERVATIVELY TREATED",2411626,BUILDING PRODUCTS
"POSTS, N.E.C., WOODEN, NOT CREOSOTED NOR OTHERWISE PRESERVATIVELY TREATED",2411627,BUILDING PRODUCTS
"POLES, TELEGRAPH OR TELEPHONE, WOODEN, NOT CREOSOTED NOR OTHERWISE PRESERVATIVELY TREATED",2411635,BUILDING PRODUCTS
TIMBER POLES,2411635,
"FUEL, LOGS OR PELLETS, BARK, SAWDUST, SHAVINGS, FIELDSTRAW OR OTHER FIBROUS MILL WASTE MATERIAL, COMPRESSED",2411701,BUILDING PRODUCTS
"TORREFIED WOOD PELLETS MADE OF SOFTWOOD, HARDWOOD OR HERBACEOUS BIOMASS",2411702,BUILDING PRODUCTS
FUEL WOOD OR FIREWOOD,2411715,BUILDING PRODUCTS
HOGGED FUEL WOOD,2411717,BUILDING PRODUCTS
"KINDLING, FIRE, WOOD, OR WOOD SHAVINGS BRIQUETTES",2411720,BUILDING PRODUCTS
"MINE PROPS OR TIMBERS, WOOD, OR MINE BLOCKS, BOARDS, CAPS, LAGGING, STULLS, WEDGES OR PIT POSTS, WOOD, NOT CREOSOTED NOR OTHERWISE PRESERVATIVELY TREATED",2411810,BUILDING PRODUCTS
BARK,2411923,
"BARK, SOFTWOOD, GROUND ORPOWDERED, OTHER THAN MEDICINAL",2411923,BUILDING PRODUCTS
"CUTTINGS, WILLOW (OSIERS), PEELED",2411945,BUILDING PRODUCTS
"CUTTINGS, WILLOW (OSIERS), NOT PEELED",2411950,BUILDING PRODUCTS
"CANADIAN OR NATIVE WOOD BUTTS, N.E.C., OR MEXICAN PINE BUTTS, N.E.C.",2411955,BUILDING PRODUCTS
"CORES, LOG",2411970,BUILDING PRODUCTS
"CORES, LOGS",2411970,
"RESINOUS WOOD WASTE, CONSISTING OF PINE KNOTS,ROOTS, STUMPS, TREE BOUGHS, OR BUTTS, WASTE RESINOUS SHORT SECTIONS OF PINE TREES COMMONLY KNOWN AS CAT FACES, I.",2411985,BUILDING PRODUCTS
"FLITCHES, FOREIGN WOOD, N.E.C.",2421110,BUILDING PRODUCTS
"FLITCHES, CANADIAN, NATIVE WOOD OR MEXICAN PINE",2421115,BUILDING PRODUCTS
"BUTTERNUT OR TULIPWOOD LUMBER, NATIVE, NOT MORE THAN 1/4 INCH IN THICKNESS",2421120,BUILDING PRODUCTS
"BUTTERNUT OR TULIPWOOD LUMBER, NATIVE, MORE THAN1/4 INCH IN THICKNESS",2421121,BUILDING PRODUCTS
"BUTTERNUT OR TULIPWOOD LUMBER, FOREIGN, NOT MORETHAN 1/4 INCH IN THICKNESS",2421122,BUILDING PRODUCTS
"BUTTERNUT OR TULIPWOOD LUMBER, FOREIGN, MORE THAN 1/4 INCH IN THICKNESS",2421123,BUILDING PRODUCTS
"BOXWOOD, DOGWOOD, IRON- WOOD, HOLLY OR LANCEWOOD LUMBER, NATIVE OR FOREIGN, NOT MORE THAN 1/4 INCH IN THICKNESS",2421125,BUILDING PRODUCTS
"BOXWOOD, DOGWOOD, IRON- WOOD, HOLLY OR LANCEWOOD LUMBER, NATIVE OR FOREIGN, MORE THAN 1/4 INCH IN THICKNESS",2421126,BUILDING PRODUCTS
"LUMBER, FOREIGN WOOD, N.E.C., NOT MORE THAN 1/4 INCH IN THICKNESS",2421127,BUILDING PRODUCTS
"LUMBER, FOREIGN WOOD, N.E.C., MORE THAN 1/4 INCH IN THICKNESS",2421128,BUILDING PRODUCTS
"BIRCH, SPRUCE OR PINE LUMBER, NATIVE, NOT MORE THAN 1/4 INCH IN THICKNESS",2421130,BUILDING PRODUCTS
"BIRCH, SPRUCE OR PINE LUMBER, NATIVE, MORE THAN1/4 INCH IN THICKNESS",2421131,BUILDING PRODUCTS
"BIRCH, SPRUCE OR PINE LUMBER, FOREIGN, NOT MORETHAN 1/4 INCH IN THICKNESS",2421135,BUILDING PRODUCTS
"BIRCH, SPRUCE OR PINE LUMBER, FOREIGN, MORE THAN 1/4 INCH IN THICKNESS",2421136,BUILDING PRODUCTS
"CLAPBOARDS, NATIVE WOOD, CANADIAN WOOD, BRAZILIAN PINE, EUROPEAN PINE, HONDURAS PINE, MEXICAN PINE, SPRUCE OR BIRCH",2421140,BUILDING PRODUCTS
"LATH, WOODEN",2421143,BUILDING PRODUCTS
"LUMBER, MAHOGANY",2421145,BUILDING PRODUCTS
"LUMBER, N.E.C., NATIVE WOOD,CANADIAN WOOD, BRAZILIAN PINE, EUROPEAN PINE, HONDURAS PINE, MEXICAN PINE, NICARAGUAN PINE, SPRUCE OR BIRCH, EXCEED- ING 1/16 INCH IN T",2421150,BUILDING PRODUCTS
"LUMBER, OBECHE, SAJO, SANDE OR VIROLA",2421151,BUILDING PRODUCTS
"LUMBER, CANADIAN WOOD, N.E.C., OR LUMBER, NATIVE WOOD, N.E.C., NOT MORE THAN 1/4 INCH IN THICKNESS",2421159,BUILDING PRODUCTS
"LUMBER, CANADIAN WOOD, N.E.C., OR LUMBER, NATIVE WOOD, N.E.C., MORE THAN 1/4 INCH IN THICKNESS",2421160,BUILDING PRODUCTS
"LUMBER, GREEN, NATIVE WOOD, N.E.C.",2421170,BUILDING PRODUCTS
"LUMBER,CEDAR,NATIVE WOOD",2421175,BUILDING PRODUCTS
"LUMBER, BOARDS, NATIVE ORFOREIGN WOOD, N.E.C., LESS THAN TWO INCHES IN NOMI- NAL THICKNESS AND ONE INCH OR MORE IN WIDTH",2421180,BUILDING PRODUCTS
"LUMBER, LONG LENGTHS, NA-TIVE OR FOREIGN WOOD, N.E.C.18 FEET OR LONGER IN LENGTH",2421181,BUILDING PRODUCTS
"LUMBER OR TIMBER, ROUGH OR DRESSED, DRIED",2421184,BUILDING PRODUCTS
"TIMBER, HEWED, ROUND OR SAWED",2421186,BUILDING PRODUCTS
KILN DRIED LUMBER IN WIDTHS LESS THAN TEN INCHES,2421190,BUILDING PRODUCTS
LUMBER,2421190,
KILN DRIED LUMBER MEASURING TWO INCHES BY TEN INCHES OR TWO INCHES BY TWELVE INCHES,2421195,BUILDING PRODUCTS
"MINE TIES, WOOD, SAWED",2421215,BUILDING PRODUCTS
"BED RAILS, WOODEN",2421413,BUILDING PRODUCTS
"CABINET BACKS, RADIO OR TELEVISION, WOODEN",2421415,BUILDING PRODUCTS
"FURNITURE STOCK, WOODEN, N.E.C., IN THE WHITE",2421418,BUILDING PRODUCTS
"FURNITURE FEET OR LEGS, WOODEN",2421420,BUILDING PRODUCTS
"CHAIR ARMS, WOODEN, IN THE WHITE",2421421,BUILDING PRODUCTS
"FURNITURE ORNAMENTS, WOODEN, IN THE WHITE",2421422,BUILDING PRODUCTS
"TABLE OR DRAWER SLIDES, WOODEN",2421426,BUILDING PRODUCTS
"FURNITURE STOCK, MOLDED PLYWOOD",2421427,BUILDING PRODUCTS
"FORMS, CYLINDRICAL, LAMI-NATED WOOD VENEER, USED IN THE MANUFACTURE OF MUSICAL DRUM BODIES OR FURNITURE PEDESTALS",2421429,BUILDING PRODUCTS
"GUN STOCKS, IN THE WHITE",2421430,BUILDING PRODUCTS
"PARTS, CHAIR OR STOOL, WOODEN, FINISHED",2421445,BUILDING PRODUCTS
"FURNITURE STOCK, WOODEN, N.E.C., IN THE ROUGH OR ROUGH TURNED",2421446,BUILDING PRODUCTS
"HANDLES, N.E.C., WOODEN, IN THE ROUGH OR ROUGH TURNED",2421450,BUILDING PRODUCTS
"SHAFTS, WOODEN, IN THE ROUGH, NOT CREOSOTED NOR OTHERWISE PRESERVATIVELY TREATED",2421458,BUILDING PRODUCTS
"VEHICLE OR GEAR WOODS, INTHE ROUGH, NOT CREOSOTED NOR OTHERWISE PRESERVATI-VELY TREATED, N.E.C.",2421464,BUILDING PRODUCTS
"FURNITURE APRONS OR RIMS,MOLDED PLYWOOD",2421467,BUILDING PRODUCTS
"WHEELS, N.E.C., NOT REQUIR- ING OR SUITABLE FOR USE WITH TIRES, WOODEN",2421476,BUILDING PRODUCTS
"AUTOMOBILE RACK BOARDS, FILLERS, FILLER BLOCKS AND SILLS, NOT CREOSOTED NOR OTHERWISE PRESERVATI-VELY TREATED",2421480,BUILDING PRODUCTS
"SPOOL BLOCKS (BLANKS), WOODEN, ROUGH TURNED",2421484,BUILDING PRODUCTS
"STEPS, POLE, POLE LINE, WOODEN",2421487,BUILDING PRODUCTS
"AGRICULTURAL IMPLEMENT PARTS, N.E.C., HAND, WOODEN,IN THE ROUGH",2421490,BUILDING PRODUCTS
"AGRICULTURAL IMPLEMENT PARTS, N.E.C., OTHER THAN HAND, WOODEN, IN THE ROUGH",2421491,BUILDING PRODUCTS
"FLOORING, HARDWOOD, VARNISHED OR WAXED",2421510,BUILDING PRODUCTS
"CARPETS, CARPETING, MATS,MATTING OR RUGS, WOOD, OTHER THAN PARQUET FLOORING",2421515,FOOD & BEVERAGES
"CARPETS, CARPETING, MATS,MATTING OR RUGS, WOOD, PARQUET FLOORING",2421516,FOOD & BEVERAGES
"FLOORING PLANK, NOT MECHANICALLY STAINED OR WAXED, REINFORCED WITH WOODEN RIBS OR SPLINES",2421518,BUILDING PRODUCTS
"FLOORING TILE (FLOORING SQUARES), WOOD, FINISHED,BACKED WITH EXPANDED PLASTIC",2421521,BUILDING PRODUCTS
"FLOORING, NATIVE WOOD, FACED WITH FIBREBOARD",2421525,BUILDING PRODUCTS
"FLOORING BLOCKS OR SQUARES, WOOD, NOT EXCEEDING 18 INCHES IN LENGTH, CONSISTING OF 2 OR MORE PIECES OF LUMBER,OR WOODEN FLOORING WITH OR WITHOUT PAPER BACKING,O",2421530,BUILDING PRODUCTS
"FACING OR FLOORING TILE, WOOD VENEER, OTHER THAN FLOORING BLOCKS OR SQUARES",2421535,BUILDING PRODUCTS
"FLOORING, N.E.C., WOODEN",2421590,BUILDING PRODUCTS
BALSA WOOD,2421910,BUILDING PRODUCTS
"CASKET OR COFFIN MATERIAL, WOODEN, IN THE WHITE",2421915,BUILDING PRODUCTS
"DOWELS, WOODEN, IN THE ROUGH OR ROUGH TURNED",2421920,BUILDING PRODUCTS
"FELLOES, WOODEN, IN THE ROUGH, NOT CREOSOTED NOR OTHERWISE PRESERVATIVELY TREATED",2421925,BUILDING PRODUCTS
MATCH BLOCKS,2421930,BUILDING PRODUCTS
